11635
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Huitième extrait>,<>,<>
part,part,22
du,de,81
du,le,71
paradis,paradis,21
aux,à,81
aux,le,71
affligés,affligé,31
;,;,p
exhortant,exhorter,13
la,le,71
créature,créature,22
humaine,humain,30
à,à,81
souffrir,souffrir,14
",",",",p
à,à,81
présenter,présenter,14
à,à,81
dieu,dieu,21
",",",",p
comme,comme,83
un,un,71
holocauste,holocauste,21
",",",",p
ses,son,73
tribulations,tribulation,22
et,et,82
ses,son,73
offenses,offense,22
",",",",p
ses,son,73
vicissitudes,vicissitude,22
et,et,82
ses,son,73
peines,peine,22
/.,/.,P
elle,il,51
devenait,devenir,18
véritablement,véritablement,60
éloquente,éloquent,30
",",",",p
maternelle,maternel,30
aux,à,81
aux,le,71
misérables,misérable,21
",",",",p
pitoyable,pitoyable,30
aux,à,81
aux,le,71
opprimés,opprimé,21
",",",",p
menaçante,menaçant,30
pour,pour,81
les,le,71
oppresseurs,oppresseur,21
et,et,82
les,le,71
despotes,despote,21
/.,/.,P
ici,ici,60
",",",",p
des,de,81
des,le,71
Esseintes,Esseintes,20
reprenait,reprendre,18
pied,pied,21
/.,/.,P
certes,certes,60
",",",",p
il,il,51
était,être,18
satisfait,satisfaire,12
de,de,81
cet,ce,74
aveu,aveu,21
de,de,81
l',le,71
ordure,ordure,22
sociale,social,30
",",",",p
mais,mais,82
alors,alors,60
",",",",p
il,il,51
se,se,51
révoltait,révolter,18
contre,contre,81
le,le,71
vague,vague,30
remède,remède,21
d',de,81
une,un,71
espérance,espérance,22
en,en,81
une,un,71
autre,autre,75
vie,vie,22
/.,/.,P
Schopenhauer,Schopenhauer,20
était,être,18
plus,plus,60
exact,exact,30
;,;,p
sa,son,73
doctrine,doctrine,22
et,et,82
celle,celui,52
de,de,81
l',le,71
Eglise,Eglise,20
partaient,partir,18
d',de,81
un,un,71
point,point,21
de,de,81
vue,vue,22
commun,commun,30
;,;,p
lui,lui,51
aussi,aussi,60
se,se,51
basait,baser,18
sur,sur,81
l',le,71
iniquité,iniquité,22
et,et,82
sur,sur,81
la,le,71
turpitude,turpitude,22
du,de,81
du,le,71
monde,monde,21
",",",",p
lui,lui,51
aussi,aussi,60
jetait,jeter,18
avec,avec,81
l',le,71
imitation,imitation,22
de,de,81
nôtre,nôtre,52
seigneur,seigneur,21
",",",",p
cette,ce,74
clameur,clameur,22
douloureuse,douloureux,30
:,:,p
“,“,p
c',ce,52
est,être,17
vraiment,vraiment,60
une,un,71
misère,misère,22
que,que,83
de,de,81
vivre,vivre,14
sur,sur,81
la,le,71
terre,terre,22
/!,/!,P
lui,lui,51
aussi,aussi,60
prêchait,prêcher,18
le,le,71
néant,néant,21
de,de,81
l',le,71
existence,existence,22
",",",",p
les,le,71
avantages,avantage,21
de,de,81
la,le,71
solitude,solitude,22
",",",",p
avisait,aviser,18
l',le,71
humanité,humanité,22
que,que,83
quoi,quoi,52
qu',que,52
elle,il,51
fît,faire,18
",",",",p
de,de,81
quelque,quelque,75
côté,côté,21
qu',que,52
elle,il,51
se,se,51
tournât,tourner,18
",",",",p
elle,il,51
demeurerait,demeurer,16
malheureuse,malheureux,30
:,:,p
pauvre,pauvre,30
",",",",p
à,à,81
cause,cause,22
des,de,81
des,le,71
souffrances,souffrance,22
qui,qui,52
naissent,naître,17
des,de,81
des,le,71
privations,privation,22
;,;,p
riche,riche,30
",",",",p
en,en,81
raison,raison,22
de,de,81
l',le,71
invincible,invincible,30
ennui,ennui,21
qu',que,52
engendre,engendrer,17
l',le,71
abondance,abondance,22
;,;,p
mais,mais,82
il,il,51
ne,ne,60
vous,vous,51
prônait,prôner,18
aucune,aucun,75
panacée,panacée,22
",",",",p
ne,ne,60
vous,vous,51
berçait,bercer,18
",",",",p
pour,pour,81
remédier,remédier,14
à,à,81
d',de,81
inévitables,inévitable,30
maux,mal,21
",",",",p
par,par,81
aucun,aucun,75
leurre,leurre,21
/.,/.,P
il,il,51
ne,ne,60
vous,vous,51
soutenait,soutenir,18
pas,pas,60
le,le,52
révoltant,révolter,13
système,système,21
du,de,81
du,le,71
péché,péché,21
originel,originel,30
;,;,p
ne,ne,60
tentait,tenter,18
point,point,60
de,de,81
vous,vous,51
prouver,prouver,14
que,que,83
celui-là,celui-là,52
est,être,17
un,un,71
dieu,dieu,21
souverainement,souverainement,60
bon,bon,30
qui,qui,52
protège,protéger,17
les,le,71
chenapans,chenapan,21
",",",",p
aide,aider,17
les,le,71
imbéciles,imbécile,21
",",",",p
écrase,écraser,17
l',le,71
enfance,enfance,22
",",",",p
abêtit,abêtir,17
la,le,71
vieillesse,vieillesse,22
",",",",p
châtie,châtier,17
les,le,71
incoupables,incoupable,21
;,;,p
il,il,51
n',ne,60
exaltait,exalter,18
pas,pas,60
les,le,71
bienfaits,bienfait,21
d',de,81
une,un,71
providence,providence,22
qui,qui,52
a,avoir,17
inventé,inventer,12
cette,ce,74
abomination,abomination,22
",",",",p
inutile,inutile,30
",",",",p
incompréhensible,incompréhensible,30
",",",",p
injuste,injuste,30
",",",",p
inepte,inepte,30
",",",",p
la,le,71
souffrance,souffrance,22
physique,physique,30
;,;,p
loin,loin,60
de,de,81
s',se,51
essayer,essayer,14
à,à,81
justifier,justifier,14
",",",",p
ainsi,ainsi,60
que,que,83
l',le,71
Eglise,Eglise,20
",",",",p
la,le,71
nécessité,nécessité,22
des,de,81
des,le,71
tourments,tourment,21
et,et,82
des,de,81
des,le,71
épreuves,épreuve,22
",",",",p
il,il,51
s',se,51
écriait,écrier,18
",",",",p
dans,dans,81
sa,son,73
miséricorde,miséricorde,22
indignée,indigné,31
:,:,p
“,“,p
si,si,83
un,un,71
dieu,dieu,21
a,avoir,17
fait,faire,12
ce,ce,74
monde,monde,21
",",",",p
je,je,51
n',ne,60
aimerais,aimer,16
pas,pas,60
à,à,81
être,être,14
ce,ce,52
dieu,dieu,21
;,;,p
la,le,71
misère,misère,22
du,de,81
du,le,71
monde,monde,21
me,je,51
déchirerait,déchirer,16
le,le,71
coeur,coeur,21
/.,/.,P
“,“,p
ah,ah,93
!,!,p
lui,lui,51
seul,seul,30
était,être,18
dans,dans,81
le,le,71
vrai,vrai,30
!,!,p
qu',que,52
étaient,être,18
toutes,tout,75
les,le,71
pharmacopées,pharmacopée,22
évangéliques,évangélique,30
à,à,81
côté,côté,21
de,de,81
ses,son,73
traités,traité,21
d',de,81
hygiène,hygiène,22
spirituelle,spirituel,30
/?,/?,P
il,il,51
ne,ne,60
prétendait,prétendre,18
rien,rien,52
guérir,guérir,14
",",",",p
n',ne,60
offrait,offrir,18
aux,à,81
aux,le,71
malades,malade,21
aucune,aucun,75
compensation,compensation,22
",",",",p
aucun,aucun,75
espoir,espoir,21
;,;,p
mais,mais,82
sa,son,73
théorie,théorie,22
du,de,81
du,le,71
pessimisme,pessimisme,21
était,être,18
",",",",p
en,en,81
somme,somme,22
",",",",p
la,le,71
grande,grand,30
consolatrice,consolatrice,22
des,de,81
des,le,71
intelligences,intelligence,22
choisies,choisi,31
",",",",p
des,de,81
des,le,71
âmes,âme,22
élevées,élevé,31
;,;,p
elle,il,51
révélait,révéler,18
la,le,71
société,société,22
telle,tel,75
qu',que,83
elle,il,51
est,être,17
",",",",p
insistait,insister,18
sur,sur,81
la,le,71
sottise,sottise,22
innée,inné,30
des,de,81
des,le,71
femmes,femme,22
",",",",p
vous,vous,51
signalait,signaler,18
les,le,71
ornières,ornière,22
",",",",p
vous,vous,51
sauvait,sauver,18
des,de,81
des,le,71
désillusions,désillusion,22
en,en,81
vous,vous,51
avertissant,avertir,13
de,de,81
restreindre,restreindre,14
autant,autant,60
que,que,83
possible,possible,30
vos,votre,73
espérances,espérance,22
",",",",p
de,de,81
n',ne,60
en,en,52
point,point,60
du,de,81
du,le,71
tout,tout,21
concevoir,concevoir,14
",",",",p
si,si,83
vous,vous,51
vous,vous,51
en,en,52
sentiez,sentir,17
la,le,71
force,force,22
",",",",p
de,de,81
vous,vous,51
estimer,estimer,14
enfin,enfin,60
heureux,heureux,30
si,si,83
",",",",p
à,à,81
des,de,81
des,le,71
moments,moment,21
inopinés,inopiné,30
",",",",p
il,il,51
ne,ne,60
vous,vous,51
dégringolait,dégringoler,18
pas,pas,60
sur,sur,81
la,le,71
tête,tête,22
de,de,81
formidables,formidable,30
tuiles,tuile,22
/.,/.,P
élancée,élancé,31
de,de,81
la,le,71
même,même,75
piste,piste,22
que,que,52
l',le,71
imitation,imitation,22
",",",",p
cette,ce,74
théorie,théorie,22
aboutissait,aboutir,18
",",",",p
elle,il,51
aussi,aussi,60
",",",",p
mais,mais,82
sans,sans,81
s',se,51
égarer,égarer,14
parmi,parmi,81
de,de,81
mystérieux,mystérieux,30
dédales,dédale,21
et,et,82
d',de,81
invraisemblables,invraisemblable,30
routes,route,22
",",",",p
au,à,81
au,le,71
même,même,75
endroit,endroit,21
",",",",p
à,à,81
la,le,71
résignation,résignation,22
",",",",p
au,à,81
au,le,71
laisser-faire,laisser-faire,21
/.,/.,P
seulement,seulement,60
",",",",p
si,si,83
cette,ce,74
résignation,résignation,22
tout,tout,60
bonnement,bonnement,60
issue,issu,30
de,de,81
la,le,71
constatation,constatation,22
d',de,81
un,un,71
état,état,21
de,de,81
choses,chose,22
déplorable,déplorable,30
et,et,82
de,de,81
l',le,71
impossibilité,impossibilité,22
d',de,81
y,y,52
rien,rien,52
changer,changer,14
",",",",p
était,être,18
accessible,accessible,30
aux,à,81
aux,le,71
riches,riche,21
de,de,81
l',le,71
esprit,esprit,21
",",",",p
elle,il,51
n',ne,60
était,être,18
que,que,83
plus,plus,60
difficilement,difficilement,60
saisissable,saisissable,30
aux,à,81
aux,le,71
pauvres,pauvre,21
dont,dont,52
la,le,71
bienfaisante,bienfaisant,30
religion,religion,22
calmait,calmer,18
plus,plus,60
aisément,aisément,60
alors,alors,60
les,le,71
revendications,revendication,22
et,et,82
les,le,71
colères,colère,22
/.,/.,P
ces,ce,74
réflexions,réflexion,22
soulageaient,soulager,18
des,de,81
des,le,71
Esseintes,Esseintes,20
d',de,81
un,un,71
lourd,lourd,30
poids,poids,21
;,;,p
les,le,71
aphorismes,aphorisme,21
du,de,81
du,le,71
grand,grand,30
Allemand,Allemand,20
apaisaient,apaiser,18
le,le,71
frisson,frisson,21
de,de,81
ses,son,73
pensées,pensée,22
et,et,82
cependant,cependant,82
",",",",p
les,le,71
points,point,21
de,de,81
contact,contact,21
de,de,81
ces,ce,74
deux,deux,72
doctrines,doctrine,22
les,le,52
aidaient,aider,18
à,à,81
se,se,51
rappeler,rappeler,14
mutuellement,mutuellement,60
à,à,81
la,le,71
mémoire,mémoire,22
",",",",p
et,et,82
il,il,51
ne,ne,60
pouvait,pouvoir,18
oublier,oublier,14
ce,ce,74
catholicisme,catholicisme,21
si,si,60
poétique,poétique,30
",",",",p
si,si,60
poignant,poignant,30
",",",",p
dans,dans,81
lequel,lequel,52
il,il,51
avait,avoir,18
baigné,baigner,12
et,et,82
dont,dont,52
il,il,51
avait,avoir,18
jadis,jadis,60
absorbé,absorber,12
l',le,71
essence,essence,22
par,par,81
tous,tout,75
les,le,71
pores,pore,21
/.,/.,P
ces,ce,74
retours,retour,21
de,de,81
la,le,71
croyance,croyance,22
",",",",p
ces,ce,74
appréhensions,appréhension,22
de,de,81
la,le,71
foi,foi,22
le,le,52
tourmentaient,tourmenter,18
surtout,surtout,60
depuis,depuis,81
que,que,83
des,de,81
des,le,71
altérations,altération,22
se,se,51
produisaient,produire,18
dans,dans,81
sa,son,73
santé,santé,22
;,;,p
ils,ils,51
coïncidaient,coïncider,18
avec,avec,81
des,de,81
des,le,71
désordres,désordre,21
nerveux,nerveux,30
nouvellement,nouvellement,60
venus,venu,31
/.,/.,P
depuis,depuis,81
son,son,73
extrême,extrême,30
jeunesse,jeunesse,22
",",",",p
il,il,51
avait,avoir,18
été,être,12
torturé,torturer,12
par,par,81
d',de,81
inexplicables,inexplicable,30
répulsions,répulsion,22
",",",",p
par,par,81
des,de,81
des,le,71
frémissements,frémissement,21
qui,qui,52
lui,lui,51
glaçaient,glacer,18
l',le,71
échine,échine,22
",",",",p
lui,lui,51
contractaient,contracter,18
les,le,71
dents,dent,22
",",",",p
par,par,81
exemple,exemple,21
",",",",p
quand,quand,83
il,il,51
voyait,voir,18
du,de,81
du,le,71
linge,linge,21
mouillé,mouillé,31
qu',que,52
une,un,71
bonne,bonne,22
était,être,18
en,en,81
train,train,21
de,de,81
tordre,tordre,14
;,;,p
ces,ce,74
effets,effet,21
avaient,avoir,18
toujours,toujours,60
persisté,persister,12
;,;,p
aujourd'hui,aujourd'hui,60
encore,encore,60
il,il,51
souffrait,souffrir,18
réellement,réellement,60
à,à,81
entendre,entendre,14
déchirer,déchirer,14
une,un,71
étoffe,étoffe,22
",",",",p
à,à,81
frotter,frotter,14
un,un,71
doigt,doigt,21
sur,sur,81
un,un,71
bout,bout,21
de,de,81
craie,craie,22
",",",",p
à,à,81
tâter,tâter,14
avec,avec,81
la,le,71
main,main,22
un,un,71
morceau,morceau,21
de,de,81
moire,moire,22
/.,/.,P
les,le,71
excès,excès,21
de,de,81
sa,son,73
vie,vie,22
de,de,81
garçon,garçon,21
",",",",p
les,le,71
tensions,tension,22
exagérées,exagéré,31
de,de,81
son,son,73
cerveau,cerveau,21
",",",",p
avaient,avoir,18
singulièrement,singulièrement,60
aggravé,aggraver,12
sa,son,73
névrose,névrose,22
originelle,originel,30
",",",",p
amoindri,amoindrir,12
le,le,71
sang,sang,21
déjà,déjà,60
usé,usé,31
de,de,81
sa,son,73
race,race,22
;,;,p
à,à,81
Paris,Paris,20
",",",",p
il,il,51
avait,avoir,18
dû,devoir,12
suivre,suivre,14
des,de,81
des,le,71
traitements,traitement,21
d',de,81
hydrothérapie,hydrothérapie,22
",",",",p
pour,pour,81
des,de,81
des,le,71
tremblements,tremblement,21
des,de,81
des,le,71
doigts,doigt,21
",",",",p
pour,pour,81
des,de,81
des,le,71
douleurs,douleur,22
affreuses,affreux,30
",",",",p
des,de,81
des,le,71
névralgies,névralgie,22
qui,qui,52
lui,lui,51
coupaient,couper,18
en,en,81
deux,deux,72
la,le,71
face,face,22
",",",",p
frappaient,frapper,18
à,à,81
coups,coup,21
continus,continu,30
la,le,71
tempe,tempe,22
",",",",p
aiguillaient,aiguiller,18
les,le,71
paupières,paupière,22
",",",",p
provoquaient,provoquer,18
des,de,81
des,le,71
nausées,nausée,22
qu',que,52
il,il,51
ne,ne,60
pouvait,pouvoir,18
combattre,combattre,14
qu',que,83
en,en,81
s',se,51
étendant,étendre,13
sur,sur,81
le,le,71
dos,dos,21
",",",",p
dans,dans,81
l',le,71
ombre,ombre,22
/.,/.,P
ces,ce,74
accidents,accident,21
avaient,avoir,18
lentement,lentement,60
disparu,disparaître,12
",",",",p
grâce,grâce,22
à,à,81
une,un,71
vie,vie,22
plus,plus,60
réglée,réglé,31
",",",",p
plus,plus,60
calme,calme,30
;,;,p
maintenant,maintenant,60
",",",",p
ils,ils,51
s',se,51
imposaient,imposer,18
à,à,81
nouveau,nouveau,21
",",",",p
variant,varier,13
de,de,81
forme,forme,22
",",",",p
se,se,51
promenant,promener,13
par,par,81
tout,tout,75
le,le,71
corps,corps,21
;,;,p
les,le,71
douleurs,douleur,22
quittaient,quitter,18
le,le,71
crâne,crâne,21
",",",",p
allaient,aller,18
au,à,81
au,le,71
ventre,ventre,21
ballonné,ballonné,31
",",",",p
dur,dur,30
",",",",p
aux,à,81
aux,le,71
entrailles,entraille,22
traversées,traversé,31
d',de,81
un,un,71
fer,fer,21
rouge,rouge,30
",",",",p
aux,à,81
aux,le,71
efforts,effort,21
inutiles,inutile,30
et,et,82
pressants,pressant,30
;,;,p
puis,puis,60
la,le,71
toux,toux,22
nerveuse,nerveux,30
",",",",p
déchirante,déchirant,30
",",",",p
aride,aride,30
",",",",p
commençant,commencer,13
juste,juste,60
à,à,81
telle,tel,75
heure,heure,22
",",",",p
durant,durer,13
un,un,71
nombre,nombre,21
de,de,81
minutes,minute,22
toujours,toujours,60
égal,égal,30
",",",",p
le,le,52
réveilla,réveiller,19
",",",",p
l',le,52
étrangla,étrangler,19
au,à,81
au,le,71
lit,lit,21
;,;,p
enfin,enfin,60
l',le,71
appétit,appétit,21
cessa,cesser,19
",",",",p
des,de,81
des,le,71
aigreurs,aigreur,22
gazeuses,gazeux,30
et,et,82
chaudes,chaud,30
",",",",p
des,de,81
des,le,71
feux,feu,21
secs,sec,30
lui,lui,51
parcoururent,parcourir,19
l',le,71
estomac,estomac,21
;,;,p
il,il,51
gonflait,gonfler,18
",",",",p
étouffait,étouffer,18
",",",",p
ne,ne,60
pouvait,pouvoir,18
plus,plus,60
",",",",p
après,après,81
chaque,chaque,75
tentative,tentative,22
de,de,81
repas,repas,21
",",",",p
supporter,supporter,14
une,un,71
culotte,culotte,22
boutonnée,boutonné,31
",",",",p
un,un,71
gilet,gilet,21
serré,serré,31
/.,/.,P
il,il,51
supprima,supprimer,19
les,le,71
alcools,alcool,21
",",",",p
le,le,71
café,café,21
",",",",p
le,le,71
thé,thé,21
",",",",p
but,boire,19
des,de,81
des,le,71
laitages,laitage,21
",",",",p
recourut,recourir,19
à,à,81
des,de,81
des,le,71
affusions,affusion,22
d',de,81
eau,eau,22
froide,froid,30
",",",",p
se,se,51
bourra,bourrer,19
d',de,81
assa-foetida,ase fétide,22
",",",",p
de,de,81
valériane,valériane,22
et,et,82
de,de,81
quinine,quinine,22
;,;,p
il,il,51
voulut,vouloir,19
même,même,60
sortir,sortir,14
de,de,81
sa,son,73
maison,maison,22
",",",",p
se,se,51
promena,promener,19
un,un,71
peu,peu,60
",",",",p
dans,dans,81
la,le,71
campagne,campagne,22
",",",",p
lorsque,lorsque,83
vinrent,venir,19
ces,ce,74
jours,jour,21
de,de,81
pluie,pluie,22
qui,qui,52
la,le,52
font,faire,17
silencieuse,silencieux,30
et,et,82
vide,vide,30
;,;,p
il,il,51
se,se,51
força,forcer,19
à,à,81
marcher,marcher,14
",",",",p
à,à,81
prendre,prendre,14
de,de,81
l',le,71
exercice,exercice,21
;,;,p
en,en,81
dernier,dernier,30
ressort,ressort,21
",",",",p
il,il,51
renonça,renoncer,19
provisoirement,provisoirement,60
à,à,81
la,le,71
lecture,lecture,22
et,et,82
",",",",p
rongé,rongé,31
d',de,81
ennui,ennui,21
",",",",p
il,il,51
se,se,51
détermina,déterminer,19
",",",",p
pour,pour,81
occuper,occuper,14
sa,son,73
vie,vie,22
devenue,devenu,31
oisive,oisif,30
",",",",p
à,à,81
réaliser,réaliser,14
un,un,71
projet,projet,21
qu',que,52
il,il,51
avait,avoir,18
sans,sans,81
cesse,cesse,22
différé,différer,12
",",",",p
par,par,81
paresse,paresse,22
",",",",p
par,par,81
haine,haine,22
du,de,81
du,le,71
dérangement,dérangement,21
",",",",p
depuis,depuis,81
qu',que,83
il,il,51
s',se,51
était,être,18
installé,installer,12
à,à,81
Fontenay,Fontenay,20
/.,/.,P
ne,ne,60
pouvant,pouvoir,13
plus,plus,60
s',se,51
enivrer,enivrer,14
à,à,81
nouveau,nouveau,21
des,de,81
des,le,71
magies,magie,22
du,de,81
du,le,71
style,style,21
",",",",p
s',se,51
énerver,énerver,14
sur,sur,81
le,le,71
délicieux,délicieux,30
sortilège,sortilège,21
de,de,81
l',le,71
épithète,épithète,22
rare,rare,30
qui,qui,52
",",",",p
tout,tout,60
en,en,81
demeurant,demeurer,13
précise,précis,30
",",",",p
ouvre,ouvrir,17
cependant,cependant,82
à,à,81
l',le,71
imagination,imagination,22
des,de,81
des,le,71
initiés,initié,21
",",",",p
des,de,81
des,le,71
au-delà,au-delà,60
sans,sans,81
fin,fin,22
",",",",p
il,il,51
se,se,51
résolut,résoudre,19
à,à,81
parachever,parachever,14
l',le,71
ameublement,ameublement,21
du,de,81
du,le,71
logis,logis,21
",",",",p
à,à,81
se,se,51
procurer,procurer,14
des,de,81
des,le,71
fleurs,fleur,22
précieuses,précieux,30
de,de,81
serre,serre,22
",",",",p
à,à,81
se,se,51
concéder,concéder,14
ainsi,ainsi,60
une,un,71
occupation,occupation,22
matérielle,matériel,30
qui,qui,52
le,le,52
distrairait,distraire,16
",",",",p
lui,lui,51
détendrait,détendre,16
les,le,71
nerfs,nerf,21
",",",",p
lui,lui,51
reposerait,reposer,16
le,le,71
cerveau,cerveau,21
",",",",p
et,et,82
il,il,51
espérait,espérer,18
aussi,aussi,60
que,que,83
la,le,71
vue,vue,22
de,de,81
leurs,leur,73
étranges,étrange,30
et,et,82
splendides,splendide,30
nuances,nuance,22
le,le,52
dédommagerait,dédommager,16
un,un,71
peu,peu,60
des,de,81
des,le,71
chimériques,chimérique,30
et,et,82
réelles,réel,30
couleurs,couleur,22
du,de,81
du,le,71
style,style,21
que,que,52
sa,son,73
diète,diète,22
littéraire,littéraire,30
allait,aller,18
lui,lui,51
faire,faire,14
momentanément,momentanément,60
oublier,oublier,14
ou,ou,82
perdre,perdre,14
/.,/.,P
il,il,51
avait,avoir,18
toujours,toujours,60
raffolé,raffoler,12
des,de,81
des,le,71
fleurs,fleur,22
",",",",p
mais,mais,82
cette,ce,74
passion,passion,22
qui,qui,52
",",",",p
pendant,pendant,81
ses,son,73
séjours,séjour,21
à,à,81
Jutigny,Jutigny,20
",",",",p
s',se,51
était,être,18
tout,tout,60
d'abord,d'abord,60
étendue,étendre,12
à,à,81
la,le,71
fleur,fleur,22
",",",",p
sans,sans,81
distinction,distinction,22
ni,ni,82
d',de,81
espèces,espèce,22
ni,ni,82
de,de,81
genres,genre,21
",",",",p
avait,avoir,18
fini,finir,12
par,par,81
s',se,51
épurer,épurer,14
",",",",p
par,par,81
se,se,51
préciser,préciser,14
sur,sur,81
une,un,71
seule,seul,30
caste,caste,22
/.,/.,P
depuis,depuis,81
longtemps,longtemps,60
déjà,déjà,60
",",",",p
il,il,51
méprisait,mépriser,18
la,le,71
vulgaire,vulgaire,30
plante,plante,22
qui,qui,52
s',se,51
épanouit,épanouir,17
sur,sur,81
les,le,71
éventaires,éventaire,21
des,de,81
des,le,71
marchés,marché,21
parisiens,parisien,30
",",",",p
dans,dans,81
des,de,81
des,le,71
pots,pot,21
mouillés,mouillé,31
",",",",p
sous,sous,81
de,de,81
vertes,vert,30
bannes,banne,22
ou,ou,82
sous,sous,81
de,de,81
rougeâtres,rougeâtre,30
parasols,parasol,21
/.,/.,P
en,en,81
même,même,75
temps,temps,21
que,que,83
ses,son,73
goûts,goût,21
littéraires,littéraire,30
",",",",p
que,que,83
ses,son,73
préoccupations,préoccupation,22
d',de,81
art,art,21
",",",",p
s',se,51
étaient,être,18
affinés,affiner,12
",",",",p
ne,ne,60
s',se,51
attachant,attacher,13
plus,plus,60
qu',que,83
aux,à,81
aux,le,71
oeuvres,oeuvre,22
triées,trié,31
à,à,81
l',le,71
étamine,étamine,22
",",",",p
distillées,distillé,31
par,par,81
des,de,81
des,le,71
cerveaux,cerveau,21
tourmentés,tourmenté,31
et,et,82
subtils,subtil,30
;,;,p
en,en,81
même,même,75
temps,temps,21
aussi,aussi,60
que,que,83
sa,son,73
lassitude,lassitude,22
des,de,81
des,le,71
idées,idée,22
répandues,répandu,31
s',se,51
était,être,18
affirmée,affirmer,12
",",",",p
son,son,73
affection,affection,22
pour,pour,81
les,le,71
fleurs,fleur,22
s',se,51
était,être,18
dégagée,dégager,12
de,de,81
tout,tout,75
résidu,résidu,21
",",",",p
de,de,81
toute,tout,75
lie,lie,22
",",",",p
s',se,51
était,être,18
clarifiée,clarifier,12
",",",",p
en,en,81
quelque,quelque,75
sorte,sorte,22
",",",",p
rectifiée,rectifié,31
/.,/.,P
il,il,51
assimilait,assimiler,18
volontiers,volontiers,60
le,le,71
magasin,magasin,21
d',de,81
un,un,71
horticulteur,horticulteur,21
à,à,81
un,un,71
microcosme,microcosme,21
où,où,60
étaient,être,18
représentées,représenter,12
toutes,tout,75
les,le,71
catégories,catégorie,22
de,de,81
la,le,71
société,société,22
:,:,p
les,le,71
fleurs,fleur,22
pauvres,pauvre,30
et,et,82
canailles,canaille,22
",",",",p
les,le,71
fleurs,fleur,22
de,de,81
bouge,bouge,21
",",",",p
qui,qui,52
ne,ne,60
sont,être,17
dans,dans,81
leur,leur,73
vrai,vrai,30
milieu,milieu,21
que,que,83
lorsqu',lorsque,83
elles,ils,51
reposent,reposer,17
sur,sur,81
des,de,81
des,le,71
rebords,rebord,21
de,de,81
mansardes,mansarde,22
",",",",p
les,le,71
racines,racine,22
tassées,tassé,31
dans,dans,81
des,de,81
des,le,71
boîtes,boîte,22
au,à,81
au,le,71
lait,lait,21
et,et,82
de,de,81
vieilles,vieux,30
terrines,terrine,22
",",",",p
la,le,71
giroflée,giroflée,22
",",",",p
par,par,81
exemple,exemple,21
;,;,p
les,le,71
fleurs,fleur,22
prétentieuses,prétentieux,30
",",",",p
convenues,convenu,31
",",",",p
bêtes,bête,30
",",",",p
dont,dont,52
la,le,71
place,place,22
est,être,17
seulement,seulement,60
dans,dans,81
des,de,81
des,le,71
cache-pots,cache-pot,21
de,de,81
porcelaine,porcelaine,22
peints,peint,31
par,par,81
des,de,81
des,le,71
jeunes,jeune,30
filles,fille,22
",",",",p
telles,tel,75
que,que,83
la,le,71
rose,rose,22
;,;,p
enfin,enfin,60
les,le,71
fleurs,fleur,22
de,de,81
haute,haut,30
lignée,lignée,22
telles,tel,75
que,que,83
les,le,71
orchidées,orchidée,22
",",",",p
délicates,délicat,30
et,et,82
charmantes,charmant,30
",",",",p
palpitantes,palpitant,30
et,et,82
frileuses,frileux,30
;,;,p
les,le,71
fleurs,fleur,22
exotiques,exotique,30
",",",",p
exilées,exilé,31
à,à,81
Paris,Paris,20
",",",",p
au,à,81
au,le,71
chaud,chaud,21
dans,dans,81
des,de,81
des,le,71
palais,palais,21
de,de,81
verre,verre,21
;,;,p
les,le,71
princesses,princesse,22
du,de,81
du,le,71
règne,règne,21
végétal,végétal,30
",",",",p
vivant,vivre,13
à,à,81
l',le,71
écart,écart,21
",",",",p
n',ne,60
ayant,avoir,13
plus,plus,60
rien,rien,52
de,de,81
commun,commun,30
avec,avec,81
les,le,71
plantes,plante,22
de,de,81
la,le,71
rue,rue,22
et,et,82
les,le,71
flores,flore,22
bourgeoises,bourgeois,30
/.,/.,P
en,en,81
somme,somme,22
",",",",p
il,il,51
ne,ne,60
laissait,laisser,18
pas,pas,60
que,que,83
d',de,81
éprouver,éprouver,14
un,un,71
certain,certain,75
intérêt,intérêt,21
",",",",p
une,un,71
certaine,certain,75
pitié,pitié,22
",",",",p
pour,pour,81
les,le,71
fleurs,fleur,22
populacières,populacier,30
exténuées,exténué,31
par,par,81
les,le,71
haleines,haleine,22
des,de,81
des,le,71
égouts,égout,21
et,et,82
des,de,81
des,le,71
plombs,plomb,21
",",",",p
dans,dans,81
les,le,71
quartiers,quartier,21
pauvres,pauvre,30
;,;,p
il,il,51
exécrait,exécrer,18
",",",",p
en,en,81
revanche,revanche,22
",",",",p
les,le,71
bouquets,bouquet,21
en,en,81
accord,accord,21
avec,avec,81
les,le,71
salons,salon,21
crème,crème,22
et,et,82
or,or,21
des,de,81
des,le,71
maisons,maison,22
neuves,neuf,30
;,;,p
il,il,51
réservait,réserver,18
enfin,enfin,60
",",",",p
pour,pour,81
l',le,71
entière,entier,30
joie,joie,22
de,de,81
ses,son,73
yeux,oeil,21
",",",",p
les,le,71
plantes,plante,22
distinguées,distingué,31
",",",",p
rares,rare,30
",",",",p
venues,venu,31
de,de,81
loin,loin,60
",",",",p
entretenues,entretenu,31
avec,avec,81
des,de,81
des,le,71
soins,soin,21
rusés,rusé,31
",",",",p
sous,sous,81
de,de,81
faux,faux,30
équateurs,équateur,21
